"lat","lon","count"
40.76,-73.98,226692
40.76,-73.97,216471
40.74,-73.99,192517
40.75,-73.99,172188
40.72,-74,165451
40.73,-74,160743
40.75,-73.98,159776
40.73,-73.99,142779
40.74,-74,135782
40.76,-73.99,120829
40.72,-73.99,110590
40.72,-74.01,107049
40.71,-74.01,103603
40.74,-74.01,101066
40.77,-73.96,87228
40.74,-73.98,83703
40.77,-73.98,79923
40.73,-74.01,72805
40.73,-73.98,72157
40.75,-73.97,70091
40.75,-74,67751
40.78,-73.98,61016
40.77,-73.87,60767
40.78,-73.96,56558
40.78,-73.95,53306
40.76,-74,52041
40.72,-73.96,45631
40.77,-73.95,45565
40.77,-73.99,44809
40.76,-73.96,41868
40.77,-73.97,39831
40.72,-73.98,37927
40.65,-73.78,36784
40.75,-74.01,35617
40.64,-73.78,34852
40.79,-73.97,32679
40.71,-73.96,26379
40.7,-73.99,25466
40.69,-73.99,25318
40.7,-74.01,25275
40.79,-73.98,25032
40.77,-73.86,25000
40.69,-74.18,21687
40.71,-74.02,21038
40.72,-73.95,20677
40.71,-73.95,20167
40.71,-74,19618
40.69,-73.97,17848
40.68,-73.98,17835
40.65,-73.79,17318
40.69,-73.98,16603
40.8,-73.97,15784
40.74,-73.97,15764
40.64,-73.79,14869
40.67,-73.98,14374
40.78,-73.99,13866
40.71,-73.94,13837
40.68,-73.97,13652
40.69,-74,13047
40.69,-73.96,12482
40.78,-73.97,12129
40.79,-73.95,12029
40.68,-73.96,12019
40.71,-73.97,11530
40.7,-73.93,11404
40.73,-73.96,11356
40.68,-74,11075
40.68,-73.99,10433
40.73,-73.95,10158
40.77,-73.89,10156
40.72,-74.02,9889
40.71,-73.99,9760
40.7,-74.18,9681
40.72,-73.94,9395
40.67,-73.99,9187
40.81,-73.96,9135
40.75,-73.94,8848
40.67,-73.96,8674
40.8,-73.96,8198
40.7,-73.98,7962
40.81,-73.95,7878
40.69,-73.95,7665
40.68,-73.95,7254
40.75,-73.96,7229
40.8,-73.95,6534
40.76,-73.92,6409
40.67,-73.97,6287
40.66,-73.98,6254
40.81,-73.94,6212
40.74,-74.03,6098
40.77,-73.92,5754
40.7,-73.92,5693
40.69,-73.94,5493
40.75,-74.03,5466
40.74,-73.96,5421
40.66,-73.99,5387
40.7,-73.94,5348
40.75,-73.95,5346
40.67,-73.95,5290
40.82,-73.94,4961
40.8,-73.94,4947
40.71,-73.93,4779
40.74,-73.95,4772
40.71,-73.92,4681
40.84,-73.94,4670
40.68,-74.01,4610
40.79,-73.96,4606
40.7,-73.97,4452
40.68,-73.94,4443
40.69,-73.92,4327
40.82,-73.95,3987
40.71,-73.98,3897
40.69,-73.93,3859
40.73,-73.94,3809
40.76,-73.93,3776
40.7,-74,3746
40.85,-73.94,3700
40.66,-73.96,3639
40.83,-73.93,3636
40.79,-73.94,3618
40.83,-73.94,3501
40.72,-74.04,3420
40.77,-73.91,3402
40.78,-73.94,3349
40.74,-73.92,3258
40.76,-73.95,3219
40.65,-73.96,3203
40.74,-74.04,3141
40.7,-73.95,3062
40.69,-73.91,3054
40.68,-73.93,2974
40.67,-73.94,2930
40.77,-74,2898
40.67,-74.01,2844
40.8,-73.93,2759
40.77,-73.93,2692
40.66,-73.95,2660
40.76,-73.91,2646
40.75,-73.85,2597
40.83,-73.95,2574
40.73,-73.97,2508
40.7,-73.96,2483
40.68,-74.02,2394
40.7,-73.91,2375
40.75,-73.93,2360
40.64,-73.97,2310
40.82,-73.96,2243
40.74,-73.93,2229
40.77,-73.88,2193
40.73,-74.04,2168
