"hour","day","count"
0,1,3247
0,2,2480
0,3,3415
0,4,2944
0,5,2786
0,6,4623
0,7,3715
0,8,2882
0,9,2708
0,10,3351
0,11,3093
0,12,3276
0,13,5517
0,14,3810
0,15,2543
0,16,2595
0,17,3208
0,18,3447
0,19,3277
0,20,4567
0,21,4381
0,22,2852
0,23,2605
0,24,3277
0,25,2442
0,26,3887
0,27,5304
0,28,4224
0,29,2732
0,30,2439
0,31,2209
1,1,1982
1,2,1600
1,3,2176
1,4,1718
1,5,1567
1,6,2932
1,7,2326
1,8,1672
1,9,1757
1,10,2167
1,11,1699
1,12,2187
1,13,3594
1,14,2399
1,15,1557
1,16,1622
1,17,2084
1,18,2178
1,19,2235
1,20,3263
1,21,3265
1,22,1662
1,23,1608
1,24,2090
1,25,1525
1,26,3123
1,27,3712
1,28,2711
1,29,1862
1,30,1547
1,31,1407
2,1,1284
2,2,1109
2,3,1434
2,4,1217
2,5,1047
2,6,1902
2,7,1533
2,8,1147
2,9,1246
2,10,1495
2,11,1126
2,12,1419
2,13,2312
2,14,1637
2,15,1115
2,16,1142
2,17,1532
2,18,1364
2,19,1637
2,20,2134
2,21,2013
2,22,1207
2,23,1163
2,24,1480
2,25,1098
2,26,2087
2,27,2407
2,28,1894
2,29,1442
2,30,1135
2,31,1107
3,1,1331
3,2,1442
3,3,1489
3,4,1449
3,5,1278
3,6,1599
3,7,1622
3,8,1509
3,9,1501
3,10,1466
3,11,1450
3,12,1386
3,13,1865
3,14,1689
3,15,1416
3,16,1429
3,17,1517
3,18,1657
3,19,1710
3,20,1889
3,21,1761
3,22,1503
3,23,1465
3,24,1520
3,25,1472
3,26,1840
3,27,2098
3,28,1846
3,29,1717
3,30,1436
3,31,935
4,1,1458
4,2,1897
4,3,1578
4,4,1737
4,5,1648
4,6,1584
4,7,1793
4,8,1921
4,9,1911
4,10,1614
4,11,1870
4,12,1787
4,13,1730
4,14,1784
4,15,1909
4,16,1851
4,17,1924
4,18,1928
4,19,1837
4,20,1647
4,21,1960
4,22,1984
4,23,1994
4,24,1825
4,25,1972
4,26,1770
4,27,1759
4,28,1916
4,29,1990
4,30,1864
4,31,788
5,1,2171
5,2,2861
5,3,2437
5,4,2623
5,5,2958
5,6,2201
5,7,2464
5,8,3282
5,9,3227
5,10,2652
